time,active_power
2021-08-04 22:30:12+00,0
2021-08-04 22:45:10+00,621.19
2021-08-04 23:00:10+00,2750.14
2021-08-04 23:15:15+00,7418.34
2021-08-04 23:30:15+00,8638.92
2021-08-04 23:45:12+00,8318.4
2021-08-05 00:00:15+00,13470.6
2021-08-05 00:15:10+00,18091.35
2021-08-05 00:30:10+00,22436.69
2021-08-05 00:45:15+00,18266.38
2021-08-05 01:00:15+00,21973.63
2021-08-05 01:15:15+00,24237.06
2021-08-05 01:30:09+00,36852.87
2021-08-05 01:45:10+00,31876.96
2021-08-05 02:00:10+00,25766.08
2021-08-05 02:15:15+00,41874.79
2021-08-05 02:30:15+00,25453.21
2021-08-05 02:45:15+00,47355.86
2021-08-05 03:00:09+00,45868.62
2021-08-05 03:15:10+00,60369.25
2021-08-05 03:30:15+00,59029.17
2021-08-05 03:45:10+00,33943.37
2021-08-05 04:00:15+00,47934.41
2021-08-05 04:15:10+00,37811.01
2021-08-05 04:30:09+00,58487.91
2021-08-05 04:45:10+00,72081.17
2021-08-05 05:00:15+00,59254.83
2021-08-05 05:15:10+00,65318.14
2021-08-05 05:30:15+00,48027.17
2021-08-05 05:45:10+00,83466.17
2021-08-05 06:00:15+00,78175.57
2021-08-05 06:15:09+00,43642.12
2021-08-05 06:30:10+00,71823.61
2021-08-05 06:45:15+00,77733.14
2021-08-05 07:00:10+00,44332.92
2021-08-05 07:15:15+00,60614.03
2021-08-05 07:30:10+00,41065.99
2021-08-05 07:45:15+00,22718.33
2021-08-05 08:00:09+00,21463.18
2021-08-05 08:15:09+00,19936.78
2021-08-05 08:30:10+00,18326.53
2021-08-05 08:45:15+00,18783.63
2021-08-05 09:00:10+00,19653.79
2021-08-05 09:15:15+00,17907.79
2021-08-05 09:30:10+00,19273.35
2021-08-05 09:45:15+00,17239.02
2021-08-05 10:00:09+00,10951.25
2021-08-05 10:15:10+00,6801.33
2021-08-05 10:30:15+00,4351.8
2021-08-05 10:45:10+00,1761.2
2021-08-05 11:00:15+00,255.89
2021-08-05 11:15:10+00,0
2021-08-05 11:30:15+00,0
