time,asset,scope,modbus_unit_id,readtime,active_power,active_energy
2021-08-04 22:30:12+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,0,92097000
2021-08-04 22:45:10+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,222.68,92097000
2021-08-04 23:00:10+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,1622.55,92097000
2021-08-04 23:15:15+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,3379.29,92098000
2021-08-04 23:30:15+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,5389.35,92099000
2021-08-04 23:45:12+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,7530.91,92101000
2021-08-05 00:00:15+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,9534.79,92103000
2021-08-05 00:15:10+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,10197.9,92105000
2021-08-05 00:30:10+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,14063.87,92109000
2021-08-05 00:45:15+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,13470.62,92112000
2021-08-05 01:00:15+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,16042.28,92116000
2021-08-05 01:15:15+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,18864.7,92121000
2021-08-05 01:30:09+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,21885.34,92126000
2021-08-05 01:45:10+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,22887.41,92132000
2021-08-05 02:00:10+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,28480.27,92139000
2021-08-05 02:15:15+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,29211.1,92146000
2021-08-05 02:30:15+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,29838.17,92153000
2021-08-05 02:45:15+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,57091.33,92167000
2021-08-05 03:00:09+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,45661.67,92178000
2021-08-05 03:15:10+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,45622.84,92189000
2021-08-05 03:30:15+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,28654.22,92196000
2021-08-05 03:45:10+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,51607.67,92209000
2021-08-05 04:00:15+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,72015.05,92227000
2021-08-05 04:15:10+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,47164.95,92239000
2021-08-05 04:30:09+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,46168.14,92250000
2021-08-05 04:45:10+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,66659.38,92267000
2021-08-05 05:00:15+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,72276.81,92285000
2021-08-05 05:15:10+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,24313.75,92291000
2021-08-05 05:30:15+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,43703.83,92302000
2021-08-05 05:45:10+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,68885.84,92319000
2021-08-05 06:00:15+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,59658.15,92334000
2021-08-05 06:15:09+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,33113.41,92342000
2021-08-05 06:30:10+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,59717.13,92357000
2021-08-05 06:45:15+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,76039.8,92376000
2021-08-05 07:00:10+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,98360.14,92401000
2021-08-05 07:15:15+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,65130.74,92417000
2021-08-05 07:30:10+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,29004.22,92424000
2021-08-05 07:45:15+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,25773,92430000
2021-08-05 08:00:09+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,27200.38,92437000
2021-08-05 08:15:09+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,28778.18,92444000
2021-08-05 08:30:10+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,25220.32,92450000
2021-08-05 08:45:15+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,28422.96,92457000
2021-08-05 09:00:10+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,46263.33,92469000
2021-08-05 09:15:15+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,38213.66,92479000
2021-08-05 09:30:10+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,38609.14,92489000
2021-08-05 09:45:15+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,33788.04,92497000
2021-08-05 10:00:09+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,25138.37,92503000
2021-08-05 10:15:10+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,17110.28,92507000
2021-08-05 10:30:15+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,8671.34,92509000
2021-08-05 10:45:10+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,1607.66,92509000
2021-08-05 11:00:15+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,493.28,92509000
2021-08-05 11:15:10+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,0,92509000
2021-08-05 11:30:15+00,ABB-107562-3Q15-4020,fafebf2e-0af8-4638-9c19-f5df7b0289a1,,,0,92509000
